Cena,Liczba_pokoi,Promowanie
1400.0,Kawalerka,True
2400.0,Więcej pokoi,True
1900.0,Więcej pokoi,True
2100.0,Kawalerka,False
1400.0,Kawalerka,False
2000.0,Więcej pokoi,False
2400.0,Więcej pokoi,False
1200.0,Kawalerka,False
2000.0,Kawalerka,False
1550.0,Więcej pokoi,False
2000.0,Więcej pokoi,False
2000.0,Więcej pokoi,False
1900.0,Kawalerka,False
1200.0,Kawalerka,True
2600.0,Więcej pokoi,True
4000.0,Więcej pokoi,True
1550.0,Więcej pokoi,False
4250.0,Więcej pokoi,False
1800.0,Więcej pokoi,False
1300.0,Więcej pokoi,False
1700.0,Kawalerka,False
1350.0,Kawalerka,False
2100.0,Więcej pokoi,False
1300.0,Kawalerka,False
2100.0,Więcej pokoi,False
2100.0,Więcej pokoi,False
1700.0,Kawalerka,False
1300.0,Więcej pokoi,True
1500.0,Kawalerka,True
1600.0,Kawalerka,False
2900.0,Więcej pokoi,False
1900.0,Więcej pokoi,False
1200.0,Kawalerka,False
,Więcej pokoi,False
1300.0,Kawalerka,False
,Więcej pokoi,False
1550.0,Kawalerka,False
1500.0,Więcej pokoi,False
2190.0,Więcej pokoi,False
1500.0,Kawalerka,True
1700.0,Więcej pokoi,True
2000.0,Więcej pokoi,False
3180.0,Więcej pokoi,False
2050.0,Kawalerka,False
1900.0,Więcej pokoi,False
1550.0,Więcej pokoi,False
1999.0,Więcej pokoi,False
1290.0,Więcej pokoi,False
1700.0,Kawalerka,False
1600.0,Więcej pokoi,False
1600.0,Więcej pokoi,False
1400.0,Kawalerka,False
3200.0,Więcej pokoi,True
2000.0,Więcej pokoi,True
2840.0,Więcej pokoi,False
1300.0,Kawalerka,False
1400.0,Kawalerka,False
,Więcej pokoi,False
1650.0,Kawalerka,False
1800.0,Więcej pokoi,False
,Więcej pokoi,False
2100.0,Więcej pokoi,False
2000.0,Więcej pokoi,False
2100.0,Więcej pokoi,False
1900.0,Więcej pokoi,False
,Kawalerka,True
2200.0,Więcej pokoi,True
1500.0,Kawalerka,True
2500.0,Więcej pokoi,False
1700.0,Więcej pokoi,False
1400.0,Kawalerka,False
1375.0,Kawalerka,False
2000.0,Więcej pokoi,False
1200.0,Więcej pokoi,False
2600.0,Więcej pokoi,False
2200.0,Więcej pokoi,False
1550.0,Więcej pokoi,False
,Kawalerka,False
1500.0,Kawalerka,True
3180.0,Więcej pokoi,True
1750.0,Więcej pokoi,True
1200.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
1200.0,Więcej pokoi,False
3100.0,Więcej pokoi,False
2200.0,Więcej pokoi,False
2300.0,Więcej pokoi,False
2840.0,Więcej pokoi,False
1850.0,Kawalerka,False
1600.0,Więcej pokoi,False
2200.0,Więcej pokoi,False
1600.0,Więcej pokoi,True
5500.0,Więcej pokoi,True
1200.0,Więcej pokoi,True
2500.0,Więcej pokoi,False
1800.0,Więcej pokoi,False
2700.0,Więcej pokoi,False
2350.0,Więcej pokoi,False
1800.0,Więcej pokoi,False
1600.0,Więcej pokoi,False
2000.0,Więcej pokoi,False
1600.0,Więcej pokoi,False
1150.0,Kawalerka,False
2000.0,Więcej pokoi,False
1200.0,Kawalerka,True
1500.0,Więcej pokoi,True
1900.0,Kawalerka,True
2000.0,Więcej pokoi,False
1600.0,Więcej pokoi,False
1370.0,Kawalerka,False
2150.0,Kawalerka,False
1150.0,Kawalerka,False
1600.0,Więcej pokoi,False
1900.0,Więcej pokoi,False
1500.0,Kawalerka,False
1850.0,Więcej pokoi,False
1500.0,Kawalerka,False
1400.0,Kawalerka,True
1100.0,Kawalerka,True
1990.0,Więcej pokoi,True
1150.0,Więcej pokoi,False
3000.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
2000.0,Więcej pokoi,False
,Więcej pokoi,False
2600.0,Więcej pokoi,False
2300.0,Więcej pokoi,False
1800.0,Więcej pokoi,False
1930.0,Więcej pokoi,False
1700.0,Więcej pokoi,True
2100.0,Więcej pokoi,True
2200.0,Więcej pokoi,True
2900.0,Więcej pokoi,False
1500.0,Kawalerka,False
1350.0,Kawalerka,False
2200.0,Więcej pokoi,False
1990.0,Więcej pokoi,False
1700.0,Więcej pokoi,False
2300.0,Więcej pokoi,False
1250.0,Kawalerka,False
2700.0,Więcej pokoi,False
1500.0,Kawalerka,False
,Więcej pokoi,True
1500.0,Kawalerka,True
1700.0,Kawalerka,True
1799.0,Kawalerka,False
1600.0,Więcej pokoi,False
1200.0,Kawalerka,False
2000.0,Więcej pokoi,False
1400.0,Kawalerka,False
2300.0,Więcej pokoi,False
1100.0,Więcej pokoi,False
1500.0,Więcej pokoi,False
1500.0,Więcej pokoi,False
1700.0,Kawalerka,False
,Więcej pokoi,True
1700.0,Kawalerka,True
1990.0,Więcej pokoi,True
1150.0,Kawalerka,False
1900.0,Więcej pokoi,False
6900.0,Więcej pokoi,False
2450.0,Więcej pokoi,False
1800.0,Kawalerka,False
1400.0,Kawalerka,False
1650.0,Kawalerka,False
2650.0,Więcej pokoi,False
2100.0,Więcej pokoi,False
2100.0,Więcej pokoi,False
2100.0,Kawalerka,True
2000.0,Więcej pokoi,True
1500.0,Więcej pokoi,True
2700.0,Więcej pokoi,False
1550.0,Kawalerka,False
1250.0,Więcej pokoi,False
1900.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
2400.0,Więcej pokoi,False
1900.0,Więcej pokoi,False
2400.0,Więcej pokoi,False
1650.0,Więcej pokoi,False
2200.0,Więcej pokoi,True
1100.0,Kawalerka,True
1850.0,Więcej pokoi,True
1500.0,Więcej pokoi,False
,Więcej pokoi,False
3550.0,Więcej pokoi,False
2000.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
1250.0,Kawalerka,False
1750.0,Więcej pokoi,False
1950.0,Kawalerka,False
1750.0,Więcej pokoi,False
1700.0,Więcej pokoi,False
1699.0,Więcej pokoi,True
900.0,Więcej pokoi,False
1900.0,Więcej pokoi,True
1600.0,Więcej pokoi,False
2500.0,Więcej pokoi,False
1400.0,Więcej pokoi,False
1750.0,Kawalerka,False
,Więcej pokoi,False
1690.0,Więcej pokoi,False
1350.0,Więcej pokoi,False
2950.0,Więcej pokoi,False
1800.0,Kawalerka,False
1900.0,Więcej pokoi,False
1900.0,Więcej pokoi,True
2700.0,Więcej pokoi,True
2900.0,Więcej pokoi,True
1900.0,Więcej pokoi,False
1800.0,Więcej pokoi,False
1700.0,Kawalerka,False
1800.0,Więcej pokoi,False
2700.0,Więcej pokoi,False
2900.0,Więcej pokoi,False
1600.0,Kawalerka,False
1960.0,Więcej pokoi,False
1890.0,Więcej pokoi,False
2300.0,Więcej pokoi,False
2200.0,Więcej pokoi,True
,Więcej pokoi,True
1250.0,Kawalerka,False
